frame_id,x,y,width,height,diarized_speaker_id,face_id,is_speaking,face_detection_confidence
23,787.2285766601562,739.9327392578125,290.11114501953125,381.676025390625,0,1,True,0.9165502786636353
24,2635.54833984375,735.2186889648438,360.3388671875,472.67340087890625,-1,0,False,0.9548050761222839
24,786.8802490234375,740.3563842773438,290.33544921875,382.19635009765625,0,1,True,0.9184693098068237
25,2635.59033203125,735.8143310546875,360.74951171875,473.35546875,-1,0,False,0.9538882970809937
25,786.5133056640625,740.1964721679688,290.2095947265625,381.02447509765625,0,1,True,0.9174566268920898
26,2635.7939453125,736.79833984375,360.71142578125,473.5693359375,-1,0,False,0.9530828595161438
26,786.1917114257812,739.453369140625,290.50360107421875,378.9031982421875,0,1,True,0.9147220849990845
27,2635.899169921875,737.858154296875,360.857421875,473.461181640625,-1,0,False,0.9521903991699219
27,785.999267578125,738.614013671875,290.82373046875,376.3077392578125,0,1,True,0.911339282989502
28,2636.216552734375,738.9363403320312,360.873046875,474.15814208984375,-1,0,False,0.9517555832862854
28,785.5465087890625,737.3712158203125,291.3492431640625,375.39599609375,0,1,True,0.9090922474861145
29,2636.3212890625,739.6315307617188,361.5888671875,475.12237548828125,-1,0,False,0.9516795873641968
29,785.1109619140625,736.4232177734375,291.7264404296875,375.66796875,0,1,True,0.9102954864501953
30,2636.23193359375,740.4591674804688,362.55908203125,475.15045166015625,-1,0,False,0.9523211121559143
30,784.656982421875,736.1957397460938,291.9986572265625,375.13360595703125,0,1,True,0.9099834561347961
31,2636.0146484375,740.847412109375,363.97509765625,476.00341796875,-1,0,False,0.9527544975280762
31,784.2679443359375,736.6285400390625,291.6517333984375,373.7037353515625,0,1,True,0.9108004570007324
32,2635.806640625,740.9232177734375,365.4580078125,477.4713134765625,-1,0,False,0.952005922794342
32,784.0180053710938,737.098388671875,291.17376708984375,372.1995849609375,0,1,True,0.9111442565917969
